sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
tolerance_graded	baseline	tolerance	-0.20	1	50	295	120	0.954	61	69	165	73	1.000
tolerance_graded	baseline	tolerance	-0.20	2	50	325	138	0.949	52	84	189	73	1.000
tolerance_graded	baseline	tolerance	-0.20	3	50	305	134	0.952	50	84	171	77	1.000
tolerance_graded	baseline	tolerance	-0.20	4	50	289	118	0.955	51	88	150	75	1.000
tolerance_graded	baseline	tolerance	-0.20	5	50	286	122	0.955	46	85	155	70	1.000
tolerance_graded	baseline	tolerance	-0.20	6	50	292	137	0.954	56	78	158	65	1.000
tolerance_graded	baseline	tolerance	-0.20	7	50	325	146	0.949	58	83	184	86	1.000
tolerance_graded	baseline	tolerance	-0.20	8	50	299	133	0.953	45	73	181	64	1.000
tolerance_graded	baseline	tolerance	-0.20	9	50	304	145	0.953	52	86	166	75	1.000
tolerance_graded	baseline	tolerance	-0.20	10	50	301	119	0.953	41	76	184	64	1.000
tolerance_graded	baseline	tolerance	-0.10	1	50	299	131	0.953	61	74	164	66	1.000
tolerance_graded	baseline	tolerance	-0.10	2	50	331	147	0.948	51	84	196	84	1.000
tolerance_graded	baseline	tolerance	-0.10	3	50	302	145	0.953	50	86	166	70	1.000
tolerance_graded	baseline	tolerance	-0.10	4	50	298	149	0.953	52	93	153	71	1.000
tolerance_graded	baseline	tolerance	-0.10	5	50	290	136	0.955	45	85	160	64	1.000
tolerance_graded	baseline	tolerance	-0.10	6	50	296	142	0.954	56	77	163	67	1.000
tolerance_graded	baseline	tolerance	-0.10	7	50	324	152	0.949	57	86	181	92	1.000
tolerance_graded	baseline	tolerance	-0.10	8	50	299	136	0.953	46	80	173	61	1.000
tolerance_graded	baseline	tolerance	-0.10	9	50	302	151	0.953	54	87	161	69	1.000
tolerance_graded	baseline	tolerance	-0.10	10	50	302	141	0.953	39	77	186	64	1.000
tolerance_graded	baseline	tolerance	+0.00	1	50	295	142	0.954	62	78	155	68	1.000
tolerance_graded	baseline	tolerance	+0.00	2	50	331	163	0.948	52	86	193	82	1.000
tolerance_graded	baseline	tolerance	+0.00	3	50	301	135	0.953	51	82	168	83	1.000
tolerance_graded	baseline	tolerance	+0.00	4	50	291	140	0.955	50	87	154	69	1.000
tolerance_graded	baseline	tolerance	+0.00	5	50	290	145	0.955	44	88	158	69	1.000
tolerance_graded	baseline	tolerance	+0.00	6	50	298	150	0.953	56	75	167	65	1.000
tolerance_graded	baseline	tolerance	+0.00	7	50	325	169	0.949	58	83	184	91	1.000
tolerance_graded	baseline	tolerance	+0.00	8	50	298	144	0.953	46	81	171	67	1.000
