sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
tolerance_graded	baseline	tolerance	+0.00	9	50	305	153	0.952	54	85	166	65	1.000
tolerance_graded	baseline	tolerance	+0.00	10	50	299	139	0.953	40	77	182	62	1.000
tolerance_graded	baseline	tolerance	+0.10	1	50	305	154	0.952	61	76	168	73	1.000
tolerance_graded	baseline	tolerance	+0.10	2	50	335	177	0.948	51	93	191	78	1.000
tolerance_graded	baseline	tolerance	+0.10	3	50	305	168	0.952	51	92	162	83	1.000
tolerance_graded	baseline	tolerance	+0.10	4	50	296	164	0.954	50	99	147	83	1.000
tolerance_graded	baseline	tolerance	+0.10	5	50	294	155	0.954	47	89	158	78	1.000
tolerance_graded	baseline	tolerance	+0.10	6	50	296	171	0.954	55	85	156	63	1.000
tolerance_graded	baseline	tolerance	+0.10	7	50	329	179	0.949	58	86	185	87	1.000
tolerance_graded	baseline	tolerance	+0.10	8	50	302	145	0.953	46	82	174	69	1.000
tolerance_graded	baseline	tolerance	+0.10	9	50	307	166	0.952	52	92	163	72	1.000
tolerance_graded	baseline	tolerance	+0.10	10	50	306	151	0.952	40	77	189	70	1.000
tolerance_graded	baseline	tolerance	+0.20	1	50	302	157	0.953	62	78	162	70	1.000
tolerance_graded	baseline	tolerance	+0.20	2	50	337	179	0.947	51	93	193	81	1.000
tolerance_graded	baseline	tolerance	+0.20	3	50	308	176	0.952	51	93	164	84	1.000
tolerance_graded	baseline	tolerance	+0.20	4	50	301	171	0.953	50	97	154	87	1.000
tolerance_graded	baseline	tolerance	+0.20	5	50	295	170	0.954	45	87	163	72	1.000
tolerance_graded	baseline	tolerance	+0.20	6	50	303	172	0.953	56	80	167	66	1.000
tolerance_graded	baseline	tolerance	+0.20	7	50	335	201	0.948	58	92	185	98	1.000
tolerance_graded	baseline	tolerance	+0.20	8	50	295	155	0.954	46	75	174	69	1.000
tolerance_graded	baseline	tolerance	+0.20	9	50	307	175	0.952	51	92	164	69	1.000
tolerance_graded	baseline	tolerance	+0.20	10	50	308	163	0.952	41	80	187	73	1.000
tolerance_graded	famine	tolerance	-0.20	1	50	1127	381	0.826	355	723	49	578	0.993
tolerance_graded	famine	tolerance	-0.20	2	50	1129	328	0.827	384	703	42	589	0.997
tolerance_graded	famine	tolerance	-0.20	3	50	1137	365	0.825	376	713	48	575	0.997
tolerance_graded	famine	tolerance	-0.20	4	50	1088	335	0.833	369	677	42	535	0.998
tolerance_graded	famine	tolerance	-0.20	5	50	1116	372	0.828	343	735	38	596	0.990
tolerance_graded	famine	tolerance	-0.20	6	50	1111	348	0.829	338	729	44	590	0.992
tolerance_graded	famine	tolerance	-0.20	7	50	1263	408	0.805	363	852	48	662	0.994
tolerance_graded	famine	tolerance	-0.20	8	50	1173	370	0.820	348	774	51	615	0.993
tolerance_graded	famine	tolerance	-0.20	9	50	1215	358	0.814	371	796	48	637	0.991
tolerance_graded	famine	tolerance	-0.20	10	50	1113	348	0.829	352	704	57	588	0.995
tolerance_graded	famine	tolerance	-0.10	1	50	1146	435	0.824	361	731	54	572	0.995
tolerance_graded	famine	tolerance	-0.10	2	50	1178	387	0.820	386	747	45	586	0.997
tolerance_graded	famine	tolerance	-0.10	3	50	1180	422	0.819	387	750	43	578	0.993
tolerance_graded	famine	tolerance	-0.10	4	50	1096	366	0.832	381	674	41	541	0.998
tolerance_graded	famine	tolerance	-0.10	5	50	1122	399	0.827	340	735	47	596	0.993
tolerance_graded	famine	tolerance	-0.10	6	50	1144	399	0.823	338	748	58	596	0.993
tolerance_graded	famine	tolerance	-0.10	7	50	1327	468	0.795	363	914	50	673	0.996
tolerance_graded	famine	tolerance	-0.10	8	50	1196	417	0.817	351	785	60	604	0.988
tolerance_graded	famine	tolerance	-0.10	9	50	1210	388	0.815	371	783	56	631	0.990
tolerance_graded	famine	tolerance	-0.10	10	50	1120	374	0.828	356	723	41	581	0.991
tolerance_graded	famine	tolerance	+0.00	1	50	1170	466	0.820	373	744	53	574	0.995
tolerance_graded	famine	tolerance	+0.00	2	50	1191	454	0.818	391	751	49	568	0.996
tolerance_graded	famine	tolerance	+0.00	3	50	1194	479	0.817	390	752	52	578	0.993
tolerance_graded	famine	tolerance	+0.00	4	50	1143	410	0.825	372	720	51	548	0.998
tolerance_graded	famine	tolerance	+0.00	5	50	1175	453	0.819	351	772	52	592	0.993
tolerance_graded	famine	tolerance	+0.00	6	50	1148	447	0.824	340	754	54	579	0.993
tolerance_graded	famine	tolerance	+0.00	7	50	1334	536	0.794	359	923	52	664	0.995
tolerance_graded	famine	tolerance	+0.00	8	50	1204	448	0.815	347	799	58	603	0.990
tolerance_graded	famine	tolerance	+0.00	9	50	1249	432	0.808	373	819	57	635	0.991
tolerance_graded	famine	tolerance	+0.00	10	50	1162	425	0.822	365	749	48	583	0.993
tolerance_graded	famine	tolerance	+0.10	1	50	1210	508	0.814	380	780	50	574	0.993
tolerance_graded	famine	tolerance	+0.10	2	50	1215	499	0.815	393	769	53	568	0.998
tolerance_graded	famine	tolerance	+0.10	3	50	1218	532	0.813	384	777	57	578	0.998
tolerance_graded	famine	tolerance	+0.10	4	50	1123	487	0.828	380	694	49	532	0.992
tolerance_graded	famine	tolerance	+0.10	5	50	1177	468	0.819	350	786	41	609	0.993
tolerance_graded	famine	tolerance	+0.10	6	50	1181	501	0.818	340	780	61	581	0.997
tolerance_graded	famine	tolerance	+0.10	7	50	1361	553	0.790	364	940	57	677	0.994
tolerance_graded	famine	tolerance	+0.10	8	50	1219	492	0.814	344	816	59	600	0.987
tolerance_graded	famine	tolerance	+0.10	9	50	1302	462	0.800	379	868	55	641	0.989
tolerance_graded	famine	tolerance	+0.10	10	50	1194	460	0.817	362	768	64	585	0.993
tolerance_graded	famine	tolerance	+0.20	1	50	1226	561	0.812	377	790	59	582	0.990
tolerance_graded	famine	tolerance	+0.20	2	50	1237	519	0.811	388	799	50	578	0.995
tolerance_graded	famine	tolerance	+0.20	3	50	1254	590	0.807	383	807	64	582	0.995
tolerance_graded	famine	tolerance	+0.20	4	50	1136	498	0.826	383	704	49	533	0.992
tolerance_graded	famine	tolerance	+0.20	5	50	1199	498	0.815	339	808	52	604	0.992
tolerance_graded	famine	tolerance	+0.20	6	50	1215	534	0.814	351	796	68	583	0.986
tolerance_graded	famine	tolerance	+0.20	7	50	1390	572	0.785	361	968	61	688	0.999
tolerance_graded	famine	tolerance	+0.20	8	50	1291	565	0.803	353	865	73	607	0.990
tolerance_graded	famine	tolerance	+0.20	9	50	1330	516	0.796	379	891	60	641	0.989
tolerance_graded	famine	tolerance	+0.20	10	50	1197	500	0.817	360	775	62	578	0.988
